iteration,fourth_down_accuracy,avg_reward_offense,avg_reward_defense,reward_gap
5000,0.6666666666666666,-0.28412159800000014,0.28412159800000014,0.5682431960000003
10000,0.6666666666666666,-0.18129722300000017,0.18129722300000017,0.36259444600000035
15000,0.6666666666666666,-0.001632463000000084,0.001632463000000084,0.003264926000000168
20000,0.6666666666666666,-0.2606606340000001,0.2606606340000001,0.5213212680000002
25000,1.0,-0.23710545950000012,0.23710545950000012,0.47421091900000023
30000,1.0,-0.1883338145000001,0.1883338145000001,0.3766676290000002
35000,0.6666666666666666,-0.45336331900000004,0.45336331900000004,0.9067266380000001
40000,1.0,0.11983593099999994,-0.11983593099999994,0.23967186199999987
45000,0.6666666666666666,0.014442698499999917,-0.014442698499999917,0.028885396999999834
50000,1.0,-0.4756721465,0.4756721465,0.951344293
